record_id,route_id,origin_station,destination_station,district,encoded_transport,fare_hkd,distance_km,scheduled_duration_min,hour_of_day,day_of_week,is_holiday,weather_condition,country_code,internal_batch_id,survey_code,campaign_tag,device_theme,promo_bucket,random_zone_code,passenger_token,session_id,ticket_reference,device_id_hash,distance_m,fare_hkd_rounded,route_group,is_peak_hour,service_note,ops_comment_code,route_label_variant
R00001,RT075,CentralStation,Admiralty,Central and Western,tram__local-standard__CTB;backup=CTB,,,,18,tue,0,,CN,B7505,S1,tourist_day,contrast,none,zone-2,PX83437664,S2031111535,TKT-331000,dev-c58114a0,6760,10,group-0,1,weather watch,OPS-D,Route-075
R00002,RT063,Kennedy Town,Admiralty,Central and Western,bus_local_standard_KMB,missing,2.01,14.0,7,Mon,0,Rain,geo::852,B4228,SYS,staff_shuttle,large_text,none,zone-2,PX26845954,S9969218457,TKT-890486,dev-cd6a3799,2010,20,group-0,1,maintenance escort,OPS-SYS,ROUTE 063
R00003,RT005,Central Station,Sha Tin,Sha Tin,Bus_LOCAL_Standard_K.M.B.,,7.91,,18,Mon,0,Cloudy,852,B7128,S1,commuter_plus,large_text,B,zone-1,PX76781444,S1632419629,TKT-484610,dev-00faef30,7910,13,group-0,1,platform crowding,OPS-B,Route-005
R00004,RT030,Tsim Sha Tsui East,Sha Tin,Sha Tin,bus_EXPRESS_Standard_Kowloon Motor Bus,,,,20,Fri,1,,HK,B7880,S1,summer_push,classic,none,zone-1,PX76889951,S5929138623,TKT-175440,dev-40babff7,7560,17,group-0,0,priority boarding,OPS-C,ROUTE 030
R00005,RT060,Tsim Sha Tsui,Causeway Bay,Yau Tsim Mong,tramexppremCTB,21.6,6.38,0.7 hrs,6,Mon,0,Sunny,HK,B5684,S1,commuter_plus,contrast,B,zone-2,PX64540607,S4658130369,TKT-808744,dev-ba75cac0,6380,22,group-0,0,platform crowding,OPS-C,ROUTE 060
R00006,RT012,Tsim Sha Tsui,North Point,Wan Chai,TRAM_LOCAL_Standard_ctb;backup=CTB,,,0.6 hrs,16,Thu,0,HEAVY_RAIN,hk-zone,B7083,S1,none,contrast,C,zone-1,PX86419825,S9133241249,TKT-282420,dev-ab79d611,4600,10,group-0,0,platform crowding,OPS-C,ROUTE 012
R00007,RT076,Central Station,sha%20tin,Central and Western,KMB_bus_standard_local,,unknown,13 min,15,Wed,1,Sunny,HK,B4595,S3,tourist_day,classic,A,zone-2,PX22858482,S7233138318,TKT-218052,dev-ff4980af,1100,7,group-0,0,normal service,OPS-C,ROUTE 076
R00008,RT008,Central Station,Kennedy Town,Central and Western,standard_bus_local_CityBus,,,,8,Thu,0,wx_s,HK,B9488,S4,summer_push,compact,C,zone-2,PX69130411,S2045922971,TKT-736207,dev-4680ffb4,12320,21,group-0,1,weather watch,OPS-C,Route-008
R00009,RT010, Causeway%20Bay ,North%20Point,Wan Chai,tram_express_standard_CityBus,,2.98,20.0,22,mon,0,,HK,B1915,S1,commuter_plus,classic,none,zone-4,PX77576755,S8810869000,TKT-374500,dev-8d3c891d,2980,9,group-0,0,normal service,OPS-D,Route-010
R00010,RT031,Kennedy Town,Mong Kok,Central and Western,bus-airport_local_standard_KMB,,,,5,Sat,1,Heavy Rain,hkg,B8388,SYS,staff_shuttle,compact,none,zone-5,PX58022207,S4369443219,TKT-478812,dev-1a4938e9,7340,13,group-0,0,internal audit,OPS-SYS,ROUTE 031
R00011,RT060,Sha Tin,Central Station,Central and Western,Tram_LOCAL_STANDARD_citybus,,,,14,Thu,0,Cloudy,HK,B3826,S2,summer_push,compact,none,zone-3,PX19106538,S1397651559,TKT-686122,dev-c6e6ffe7,4750,7,group-0,0,priority boarding,OPS-C,ROUTE 060
R00012,RT027,North Point,Tsim Sha Tsui,Eastern,bus_local_standard_K.M.B.;backup=KMB,"0,0",500m,dur=5,21,Sat,0,,HK,B6992,S1,tourist_day,compact,B,zone-5,PX10795638,S5847861145,TKT-800295,dev-d28b9dd3,75,999,group-0,0,minor queue,OPS-A,Route-027
R00013,RT058,Sha Tin,Kennedy Town,Sha Tin,bus-express-standard-CityBus,,,00:51:00,10,Mon,0,Sunny,852,B3040,S1,summer_push,large_text,none,zone-2,PX46129116,S4318304882,TKT-653509,dev-376c3101,8510,18,group-0,0,weather watch,OPS-C,Route-058
R00014,RT067,Tsuen Wan,C.Station,Central and Western,tram_local_standard_CTB,HK$0.5,about 0.5,2.0,10,Mon,0,,HK,B7494,S4,none,classic,B,zone-4,PX96864938,S3915970240,TKT-818847,dev-994f7df0,900000,2500,group-0,0,priority boarding,OPS-C,ROUTE 067
R00015,RT029,tsuen%2520wan,Sha Tin,Tsuen Wan,bus|local|standard|CityBus;backup=KMB,,,,18,Sun,0,,HK,B7077,S1,none,classic,B,zone-1,PX35782171,S7470555283,TKT-638847,dev-d86e127f,860,6,group-0,1,minor queue,OPS-B,Route-029
R00016,RT072,Kennedy Town,Sha Tin,Central and Western,Ferry-CrossHarbour_LOCAL_STANDARD_hkkf,400.0 HKD,240.0,840-848 min,9,Thu,0,wx_s,HK,B2578,S4,none,compact,none,zone-3,PX90607497,S3812769895,TKT-699857,dev-a23f8623,120000,1,group-0,1,priority boarding,OPS-C,ROUTE 072
R00017,RT060,Mong Kok,Kennedy%20Town,Central and Western,bus-NIGHT_EXPRESS_STANDARD_Kowloon Motor Bus,,,,14,Fri,0,,MO,B4860,S2,commuter_plus,classic,B,zone-2,PX79547759,S5399009754,TKT-527560,dev-5928e52a,11130,23,group-0,0,minor queue,OPS-A,Route-060
R00018,RT050,Central Station,Kennedy Town,Sha Tin,tram_express_premium_CTB,1.0,240000m,840 min,8,Tue,0,Sunny,geo::hkg,B7172,S4,none,classic,B,zone-2,PX42917806,S8325857537,TKT-339833,dev-ae12f0c0,75,2500,group-0,1,weather watch,OPS-A,Route-050
R00019,RT012,Kennedy Town,Sha Tin,Central and Western,meta46:bus_local_standard_CTB:v4,,,,6,Fri,0,wx.cld.ops,HK,B4893,S2,none,classic,A,zone-5,PX53827635,S6016936237,TKT-121380,dev-8c291410,14430,20,group-0,0,minor queue,OPS-D,ROUTE 012
R00020,RT019,TSIM SHA TSUI,TsuenWan,Yau Tsim Mong,Bus-crossharbour_EXPRESS_standard_K.M.B.,,,,11,Wed,0,,legacy,B7527,S3,none,contrast,A,zone-2,PX42465737,S8172142273,TKT-312835,dev-ceb1fd19,1810,11,group-0,0,minor queue,OPS-D,ROUTE 019
R00021,RT034,Mongkok,Causeway Bay,Yau Tsim Mong,tram_Local_STANDARD_ctb,8.5-13.5,about 4.42,,7,Sat,1,heavy-rn,HK,B2646,S2,none,large_text,none,zone-1,PX98629047,S7936828924,TKT-707294,dev-fb8adb5e,4420,8,group-0,1,normal service,OPS-D,Route-034
